--------------------------------------------
       CYBER INFILTRATOR - HISTORIAL
--------------------------------------------
Fecha y hora : 25/05/2026 11:20:41
Resultado    : VICTORIA
Turnos       : 148
Mov restantes: 37
Puertos      : 3 / 3
--------------------------------------------
           SECUENCIA DE MOVIMIENTOS
--------------------------------------------
   65. Turno 62 | ARRIBA  →  pos(13,17)  | MOV restantes: 289  | Puertos: 1/3
   66. Turno 63 | ARRIBA  →  pos(12,17)  | MOV restantes: 288  | Puertos: 2/3
   67. Turno 64 | DERECHA  →  pos(12,18)  | MOV restantes: 287  | Puertos: 2/3
   68. Turno 65 | ARRIBA  →  pos(11,18)  | MOV restantes: 286  | Puertos: 2/3
   69. Turno 66 | IZQUIERDA  →  pos(11,17)  | MOV restantes: 285  | Puertos: 2/3
   70.           └─ SCANNER detectado  -MOV: -14
   71. Turno 67 | IZQUIERDA  →  pos(11,16)  | MOV restantes: 270  | Puertos: 2/3
   72.           └─ SCANNER detectado  -MOV: -13
   73. Turno 68 | IZQUIERDA  →  pos(11,15)  | MOV restantes: 256  | Puertos: 2/3
   74.           └─ SCANNER detectado  -MOV: -12
   75. Turno 69 | IZQUIERDA  →  pos(11,14)  | MOV restantes: 243  | Puertos: 2/3
   76. Turno 70 | ABAJO  →  pos(12,14)  | MOV restantes: 242  | Puertos: 2/3
   77. Turno 71 | IZQUIERDA  →  pos(12,13)  | MOV restantes: 241  | Puertos: 2/3
   78. Turno 72 | ARRIBA  →  pos(11,13)  | MOV restantes: 240  | Puertos: 2/3
   79. Turno 73 | DERECHA  →  pos(11,14)  | MOV restantes: 239  | Puertos: 2/3
   80.           └─ SCANNER detectado  -MOV: -12
   81. Turno 74 | ARRIBA  →  pos(10,14)  | MOV restantes: 226  | Puertos: 2/3
   82.           └─ SCANNER detectado  -MOV: -11
   83. Turno 75 | IZQUIERDA  →  pos(10,13)  | MOV restantes: 214  | Puertos: 2/3
   84.           └─ SCANNER detectado  -MOV: -10
   85. Turno 76 | IZQUIERDA  →  pos(10,12)  | MOV restantes: 203  | Puertos: 2/3
   86. Turno 77 | DERECHA  →  pos(10,13)  | MOV restantes: 202  | Puertos: 2/3
   87.           └─ SCANNER detectado  -MOV: -10
   88. Turno 78 | ABAJO  →  pos(11,13)  | MOV restantes: 191  | Puertos: 2/3
   89. Turno 79 | ABAJO  →  pos(12,13)  | MOV restantes: 190  | Puertos: 2/3
   90. Turno 80 | IZQUIERDA  →  pos(12,12)  | MOV restantes: 189  | Puertos: 2/3
   91. Turno 81 | IZQUIERDA  →  pos(12,11)  | MOV restantes: 188  | Puertos: 2/3
   92. Turno 82 | ARRIBA  →  pos(11,11)  | MOV restantes: 187  | Puertos: 2/3
   93. Turno 83 | ARRIBA  →  pos(10,11)  | MOV restantes: 186  | Puertos: 2/3
   94. Turno 84 | ARRIBA  →  pos(9,11)  | MOV restantes: 185  | Puertos: 2/3
   95. Turno 85 | ARRIBA  →  pos(8,11)  | MOV restantes: 184  | Puertos: 2/3
   96. Turno 86 | ARRIBA  →  pos(7,11)  | MOV restantes: 183  | Puertos: 2/3
   97. Turno 87 | IZQUIERDA  →  pos(7,10)  | MOV restantes: 182  | Puertos: 2/3
   98. Turno 88 | ARRIBA  →  pos(6,10)  | MOV restantes: 181  | Puertos: 2/3
   99. Turno 89 | ARRIBA  →  pos(5,10)  | MOV restantes: 180  | Puertos: 2/3
  100. Turno 90 | DERECHA  →  pos(5,11)  | MOV restantes: 179  | Puertos: 2/3
  101. Turno 91 | DERECHA  →  pos(5,12)  | MOV restantes: 178  | Puertos: 2/3
  102. Turno 92 | ABAJO  →  pos(6,12)  | MOV restantes: 177  | Puertos: 2/3
  103. Turno 93 | IZQUIERDA  →  pos(6,11)  | MOV restantes: 176  | Puertos: 2/3
  104. Turno 94 | IZQUIERDA  →  pos(6,10)  | MOV restantes: 175  | Puertos: 2/3
  105. Turno 95 | IZQUIERDA  →  pos(6,9)  | MOV restantes: 174  | Puertos: 2/3
  106. Turno 96 | ABAJO  →  pos(7,9)  | MOV restantes: 173  | Puertos: 2/3
  107. Turno 97 | IZQUIERDA  →  pos(7,8)  | MOV restantes: 172  | Puertos: 2/3
  108. Turno 98 | ARRIBA  →  pos(6,8)  | MOV restantes: 171  | Puertos: 3/3
  109. Turno 99 | IZQUIERDA  →  pos(6,7)  | MOV restantes: 170  | Puertos: 3/3
  110. Turno 100 | ARRIBA  →  pos(5,7)  | MOV restantes: 169  | Puertos: 3/3
  111. Turno 101 | ARRIBA  →  pos(4,7)  | MOV restantes: 168  | Puertos: 3/3
  112. Turno 102 | DERECHA  →  pos(4,8)  | MOV restantes: 167  | Puertos: 3/3
  113. Turno 103 | ABAJO  →  pos(5,8)  | MOV restantes: 166  | Puertos: 3/3
  114. Turno 104 | ABAJO  →  pos(6,8)  | MOV restantes: 165  | Puertos: 3/3
  115. Turno 105 | ABAJO  →  pos(7,8)  | MOV restantes: 164  | Puertos: 3/3
  116. Turno 106 | ABAJO  →  pos(8,8)  | MOV restantes: 163  | Puertos: 3/3
  117. Turno 107 | IZQUIERDA  →  pos(8,7)  | MOV restantes: 162  | Puertos: 3/3
  118. Turno 108 | ABAJO  →  pos(9,7)  | MOV restantes: 161  | Puertos: 3/3
  119. Turno 109 | DERECHA  →  pos(9,8)  | MOV restantes: 160  | Puertos: 3/3
  120. Turno 110 | ARRIBA  →  pos(8,8)  | MOV restantes: 159  | Puertos: 3/3
  121. Turno 111 | DERECHA  →  pos(8,9)  | MOV restantes: 158  | Puertos: 3/3
